track_id,track_name,danceability,acousticness,energy,tempo,instrumentalness,loudness,liveness,duration_ms,key,valence,speechiness,mode
3vaCAJ3PTryyBZEtHNCmNf,Thoughts Grim,0.477,0.285,0.654,132.572,0.279,-7.993,0.201,279521,4,0.576,0.258,0
4uQWRd4rBrfAvLpB7Ko9lu,All Very Hush Hush,0.808,0.00328,0.769,123.03,0.438,-7.239,0.431,382439,8,0.232,0.146,1
1raUndN5SfPKzFETCbbwhH,Hot Flavor - Extended Mix,0.771,0.273,0.485,114.153,8.47e-06,-9.02,0.108,277359,6,0.644,0.277,1
0GVgT3Y3ehqbIn4c0LJjhE,Thrilla,0.659,0.308,0.697,86.024,0.000479,-7.52,0.271,291009,11,0.349,0.282,0
6DBVVirWdJMhSGxeAkhj5m,Elsewhere,0.59,0.99,0.318,160.119,0.936,-14.187,0.122,239732,7,0.434,0.0385,0
79qMKLCEIM1WZLNg9YeykB,SK-1,0.35,0.984,0.189,165.482,0.945,-23.208,0.118,122569,0,0.477,0.0456,1
5sAlA1N2gmqqmUkqe8WIsa,Rakatak,0.706,0.201,0.795,149.864,0.855,-10.424,0.0757,311533,3,0.35,0.136,0
5X90ZpkdxcPFquwlwUeKix,Be Like Water,0.678,0.593,0.564,140.016,0.903,-11.444,0.112,228395,0,0.512,0.0485,0
2y7an0zD7jCNw2MiM2u6OQ,nhs,0.681,0.592,0.427,140.035,0.0,-10.505,0.304,206200,0,0.463,0.33,1
6op3QtSUgYgeQo1F5PQD4D,Pattern of the North,0.649,0.0246,0.662,121.97,0.845,-14.891,0.201,349981,6,0.0305,0.0413,0
6yAxCaEgTD5oY8zKvHJgkI,Lose My Way,0.416,0.989,0.0866,109.545,0.0144,-13.936,0.0995,319907,3,0.112,0.0352,1
79FRd4gq3o7yXSexLVsAFh,Burner,0.76,0.136,0.79,127.0,0.783,-7.864,0.0724,308859,4,0.364,0.0619,0
