id,key,instrumentalness,energy,acousticness,danceability
5NXPiNjC5w8kWKGbZyszxx,0,0.829,0.444,0.515,0.808
0CkdQC2WblMUtelEZBbWcg,3,0.917,0.338,0.14,0.377
0szwsqUFUlNxupTMFrKE6W,5,0.921,0.787,0.036,0.717
5aRe3NaiAdDK9lr3kycmDi,7,0.864,0.575,0.00098,0.457
5zzkmLE2D2zQTwch2Ikjta,0,0.974,0.324,0.995,0.152
330YzcDouOmiahaJah92Bd,1,0.404,0.628,0.495,0.504
1aHZ1ytX9oYLDU7mkeSkvN,10,0.893,0.536,0.156,0.544
2TOn7sCjmLKNFWQbcCIyDH,10,0.828,0.705,0.0012,0.763
5U8SZMWsUGwzMPmQvQdesC,1,0.811,0.72,0.0166,0.676
5HF3RyQVJFM9FFB5r3NTeO,11,0.887,0.314,0.976,0.229
3rCtueI7qBN2kZBZnXuk5K,6,0.886,0.725,0.539,0.713
4i0yKh0l6tdVfSR8otKW9A,4,0.126,0.553,0.59,0.667
7amdpZrRj5ngGURJjvpaeE,11,0.828,0.911,0.00175,0.686
4WelMc4bFzdgCV6Oi2EYXa,3,0.244,0.806,0.505,0.718
7AfjsWFDhggAVRmd6wAiYv,6,0.923,0.579,0.0305,0.534
3umWfHbYfTQpKv6ob3QXfF,6,0.842,0.884,0.0185,0.68
6tpEU20pqSfEXnFf9SIUzw,2,0.888,0.376,0.0249,0.485
3SnNAIqtXkeKy0M7yDfNca,6,0.605,0.6,0.00849,0.722
0nr1Fxo88YSQEfdiuPLg5T,8,0.94,0.457,0.345,0.553
69g4JNhPRadvLgKKv1QQML,2,0.518,0.735,0.724,0.552
5BgfodYBmppmlfR8kEuBFT,3,0.131,0.548,0.864,0.682
6zMRPrZdAw9w1888ZQFteA,7,0.761,0.379,0.17,0.168
64JtbaCzTqbduHQaZYOU4T,5,0.934,0.0585,0.991,0.382
4ZZmnXwntJV3jPYkwlzar3,3,0.85,0.263,0.924,0.501
0R43dXnNgF209Ygdgct0fP,1,0.00947,0.641,0.0718,0.763
1q7LDIU3gFeZXlRZpTZQOV,8,0.845,0.668,0.265,0.633
0MY20JDvQuXv2DQeFQqOyH,11,0.928,0.809,0.288,0.728
2Vl69upTWML1n7jU5HpPXb,5,0.859,0.00154,0.958,0.283
4LZwAR3Kca1eBXCVRDnwOc,0,0.873,0.197,0.912,0.359
3aLOSDqordMtEuPxOn3hbT,8,0.911,0.658,0.46,0.693
13zRpWZDuOOCi6zBmWzPXo,10,0.437,0.557,0.122,0.776
3Tc6x9waprUmAwaOjEIWEa,7,0.934,0.612,0.251,0.716
3uRlcpeKEi5SvM4LfBRMh5,8,0.91,0.487,0.00204,0.688
3RHWRCemNNVspfzSw1vMy7,3,0.925,0.101,0.966,0.404
4fP7FqIR05uEyif9Fvm5LD,4,0.675,0.686,0.568,0.583
3UYKvI6JYzkp8eep9fcWT0,0,0.00291,0.534,0.451,0.485
7kjHmzcH4RjDLUivOnorpD,7,0.865,0.828,0.00826,0.705
3A0ITFj6kbb9CggwtPe55f,7,0.0,0.655,0.425,0.436
0bO9mhJpH5R5ixn9Gv8F6O,6,0.00185,0.676,0.483,0.715
2Gd8ZQCBOjFfkZu1p7OjjX,5,0.922,0.279,0.748,0.31
2sQUWHg7de6z5QZQRx8AaK,3,0.734,0.867,0.021,0.581
7qgRamJa4Rmxrm94hsJyY5,3,0.877,0.777,0.599,0.524
7JQybFDM3nDTxW5awk1XVd,9,0.00682,0.464,0.317,0.722
40sFep2wZeBGSU2r4eSxBG,9,0.75,0.781,0.12,0.647
0zRihVR6d6EO08y1pQeYKI,1,0.953,0.121,0.951,0.0644
0EXyE7VONyOgYfSpiR07K4,1,0.000806,0.4,0.873,0.54
2nOXX2b172iaa2dbtwIv62,11,0.0154,0.00823,0.991,0.268
3oRuCzqdduzZ2CBhAtv8zO,1,0.907,0.0089,0.987,0.301
0E7S1k9M1KshLISVC2EP1M,5,0.879,0.512,0.257,0.738
58jiO8fZTyFM0EB7Nliu0T,0,0.00244,0.556,0.166,0.752
