track_id,track_name,danceability,acousticness,energy,tempo,instrumentalness,loudness,liveness,duration_ms,key,valence,speechiness,mode,play_number,playlist_number,tempo_scaled
1wUnuiXMMvhudmzvcCtlZP,Get Up,0.525,0.634,0.526,85.274,0.127,-7.03,0.103,36227,5,0.562,0.0534,1,953,0,0.4145410705518043
56v8WEnGzLByGsDAXDiv4d,ETA,0.812,0.108,0.749,134.971,0.0,-6.389,0.0599,151373,10,0.841,0.0397,0,954,0,0.6561322657955247
02wk5BttM0QL38ERjLPQJB,Cool With You,0.752,0.653,0.65,134.993,0.00136,-6.683,0.105,147880,5,0.532,0.12,0,955,0,0.656239214027719
0kwrPQkiGVE8KTHalH1uMo,Super Shy,0.776,0.18,0.817,149.921,3.44e-05,-6.018,0.146,154667,5,0.515,0.0748,0,956,0,0.7288084508548566
7woEDtme8YkFiWeyiinIjy,New Jeans,0.807,0.51,0.721,134.014,0.00216,-6.211,0.115,108987,4,0.532,0.0508,0,957,0,0.6514800176950712
1acVBP8BcK6LTeNeFjfxnh,seasons,0.333,0.78,0.275,59.157,0.0587,-10.638,0.218,256000,7,0.16,0.0272,1,958,0,0.2875789350872843
4u4VElxO7JM4IR4jR4TL1s,Arrival to Earth,0.103,0.549,0.384,79.262,0.897,-16.401,0.111,326773,0,0.0747,0.0556,0,959,0,0.38531503546306156
7g8U2TPh6JPFJK5LgqsNeE,What I've Done,0.623,0.0141,0.93,120.117,1.64e-06,-5.285,0.138,205613,5,0.287,0.0324,1,960,0,0.5839227639312226
1hQMzVXdoDZXcO16GOhWc5,Autobots,0.392,0.572,0.492,80.016,0.959,-14.757,0.109,153027,7,0.175,0.057,0,961,0,0.3889804430573583
0wQy2OO7jKjm0OOmA7gv3f,Thriller - 2003 Edit,0.775,0.0892,0.852,118.561,2.35e-05,-4.813,0.823,311440,11,0.836,0.0528,1,962,0,0.5763586071451142
7tqoivFzlTVYaRTGbIuSuc,Water,0.931,0.264,0.667,133.027,0.797,-11.296,0.0423,334040,10,0.738,0.305,0,963,0,0.6466819310961707
2XC0uJNmCqlV8g0ldiz6Vr,Enterstella,0.734,0.853,0.593,99.007,0.922,-20.821,0.109,173116,7,0.382,0.0471,0,964,0,0.48130107385747695
3CFqsproirYuZ6ksCoCwfc,Keep Moving - The Blessed Madonna Remix / Edit,0.713,0.000879,0.735,125.994,0.54,-5.502,0.237,257263,10,0.501,0.051,0,965,0,0.6124925257769546
4ejCsNXh66YasBUiwfBhDg,Mercy (feat. Jacob Lusk),0.815,0.00589,0.645,126.994,2.96e-05,-6.046,0.709,178243,2,0.652,0.0938,0,966,0,0.6173538090585152
0DZOKyQX78CS0HaoUxOG2R,The Caballero Thrust Programme,0.798,0.000486,0.744,130.027,0.894,-9.581,0.0677,402553,1,0.695,0.0466,1,967,0,0.6320980812514887
2H1oA380k4jLgtlrwTVdwO,Navigator 3000,0.796,0.00013,0.971,129.998,0.858,-7.578,0.0433,408830,4,0.803,0.0401,0,968,0,0.6319571040363234
1K1sokhfhALRSKGe678hIm,Vela,0.799,0.000431,0.964,128.03,0.836,-7.847,0.0526,391999,0,0.558,0.0566,1,969,0,0.6223900985382121
5ruVY6icAv4DN04j0qcu1W,Acid King - Full Tilt Mix,0.561,0.0416,0.816,141.985,0.944,-11.231,0.131,640724,0,0.217,0.0409,1,970,0,0.6902293067323912
7xGArCfcfK8dsNUk5hZYTf,Kabel Kabel,0.769,0.00359,0.958,139.996,0.89,-8.451,0.1,332571,1,0.0339,0.0593,1,971,0,0.6805602142853671
1stNyR4hTDdHX9DPe4TMGD,Out Of Control,0.549,0.000554,0.936,131.97,0.0949,-4.126,0.0859,439760,10,0.421,0.0335,0,972,0,0.6415435546675612
74LRqSi9vqy4vnxCLInNAw,78 To Stanley Bay,0.781,0.441,0.881,119.002,0.649,-10.143,0.11,307082,7,0.445,0.0686,0,973,0,0.5785024330722824
4ubDv9q3yVbbGAoz9ZGRoh,Fuzzy Logic,0.736,0.0179,0.892,134.008,0.907,-6.551,0.0343,389910,11,0.468,0.0407,0,974,0,0.6514508499953818
